"Comment","Designator","Footprint"
"100nF","C1","C0603-H90"
"4.7uF","C2","C0603-H90"
"100nF","C3","C0603-H90"
"4.7uF","C4","C0603-H90"
"100nF","C5","C0603-H90"
"4.7uF","C6","C0603-H90"
"4.7uF","C7","C0603-H90"
"BAT54WS-7-F","D1","SOD-323"
"BAT54WS-7-F","D2","SOD-323"
"USBLC6-4SC6","D3","SOT-236"
"LTST-C191KRKT","LD1","LED-0603-R"
"LTST-C191KGKT","LD2","LED-0603-G"
"SKQMAQE010","PB1","SKQMA-SERIE"
"BSS138-7-F","Q1","SOT-23"
"10KR","R1","R0603-H55"
"470R","R2","R0603-H55"
"10KR","R4","R0603-H55"
"470R","R5","R0603-H55"
"470R","R6","R0603-H55"
"10KR","R7","R0603-H55"
"STM32F042K6U6TR","U1","UFQFPN32-5x5"
"AP7313-33SRG-7","U2","SOT-23"
